UF Notificação;1980;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Total
TOTAL;1;4;30;93;407;785;1899;3133;4949;6561;9208;12086;14256;15121;16912;20138;22287;27330;24981;23971;24441;24520;24312;26361;29452;27750;22869;27552;29928;30655;35906;34051;34427;32854;31089;29961;33356;27204;25110;8431;764381
Rondônia;0;0;0;0;0;0;3;3;1;7;1;12;16;36;37;46;52;66;46;76;67;87;111;129;258;209;222;144;328;228;356;348;430;402;362;280;355;304;237;85;5344
Acre;0;0;0;0;0;0;3;2;4;1;6;2;7;7;2;5;11;17;18;16;23;26;40;40;45;27;43;43;56;47;41;61;75;56;54;69;46;102;67;6;1068
Amazonas;0;0;0;0;0;1;3;8;14;19;24;34;16;57;108;106;118;227;211;220;173;82;333;356;526;731;373;548;616;863;941;1276;1265;1254;617;496;512;564;827;304;13823
Roraima;0;0;0;0;0;0;0;1;5;7;12;6;4;6;6;13;16;17;13;34;27;29;49;114;67;67;75;121;82;105;99;93;132;135;148;133;234;198;230;55;2333
Pará;0;0;0;0;1;3;7;11;26;29;41;53;126;146;164;183;191;171;301;150;221;246;342;515;591;486;531;788;775;715;546;511;927;814;967;1162;1529;1265;889;228;15651
Amapá;0;0;0;0;0;0;0;3;2;1;3;5;2;4;16;17;29;26;33;26;43;48;11;53;60;87;73;92;84;80;125;85;144;100;78;140;202;224;162;23;2081
Tocantins;0;0;0;0;0;0;0;0;0;3;3;2;12;10;12;16;30;45;54;53;100;87;98;102;78;86;84;121;129;116;167;193;264;177;129;94;151;96;69;43;2624
Maranhão;0;0;0;0;4;1;7;11;25;33;42;35;85;78;74;184;122;160;208;175;136;355;273;357;300;355;351;379;541;434;734;853;763;824;1008;972;900;829;552;152;12312
Piauí;0;0;0;0;0;0;6;6;7;35;33;28;32;79;81;95;170;142;184;198;235;202;234;285;301;293;343;180;389;410;320;456;515;560;362;314;347;286;265;99;7492
Ceará;0;0;1;0;3;6;14;27;51;47;86;125;115;236;200;322;464;596;438;372;559;480;616;769;603;828;453;714;685;907;789;1035;1072;1269;983;1145;1216;1026;984;385;19621
Rio Grande do Norte;0;0;1;1;0;3;12;11;19;19;36;29;60;75;91;79;112;148;120;136;130;110;170;101;151;190;112;260;297;258;287;285;356;502;328;311;501;460;464;176;6401
Paraíba;0;0;0;0;5;1;12;10;7;21;28;53;66;68;78;115;115;171;216;233;179;126;115;342;262;260;256;255;364;341;366;428;330;374;514;220;640;375;605;114;7665
Pernambuco;0;0;1;1;7;11;50;62;112;173;181;197;316;280;319;555;517;804;550;640;687;951;951;764;1147;1093;1040;1273;901;1363;1478;1455;1617;1490;1244;1122;1184;1359;1171;331;27397
Alagoas;0;0;0;0;0;0;0;0;0;22;26;29;80;37;68;74;164;107;118;115;163;127;215;137;205;301;252;275;304;357;377;387;446;330;264;509;560;497;386;142;7074
Sergipe;0;0;0;0;0;0;8;11;13;17;19;31;34;60;42;80;126;71;164;71;43;72;128;165;205;97;228;249;187;284;258;239;307;264;375;289;372;269;296;103;5177
Bahia;0;0;0;1;3;16;34;67;117;99;157;281;295;229;244;342;485;492;594;577;410;420;479;716;914;831;769;901;907;1601;1397;1356;1691;1333;1327;1380;1202;1218;690;159;23734
Minas Gerais;0;0;0;3;24;32;79;96;172;242;316;345;905;1081;1147;1275;1473;1637;1417;1461;1249;1433;1808;2001;2424;2119;1852;2067;2264;2090;2447;2468;2296;2392;2573;2327;2189;1753;1437;524;51418
Espírito Santo;0;0;0;0;4;6;16;24;46;34;69;67;123;152;155;193;247;295;506;318;232;477;359;477;850;407;328;297;437;909;769;768;659;735;680;593;634;378;423;0;12667
Rio de Janeiro;0;1;2;17;87;171;367;450;896;827;1183;1900;1944;2025;2285;3099;3285;3734;3740;3476;3388;2859;2604;3166;5003;3340;2251;3185;3991;3136;4476;3078;3573;2764;2188;2940;3191;1945;2530;549;89646
São Paulo;1;3;22;61;240;426;1078;1982;2913;4051;5509;7234;7795;7831;8467;9227;9563;12181;10529;9569;9183;9182;8521;8148;7851;7259;5952;7378;7274;7239;9183;8004;6981;6492;7229;6610;8583;6119;4846;2513;243229
Paraná;0;0;0;0;4;10;19;44;67;102;223;322;528;550;750;875;1131;1188;1412;1393;1313;1517;1187;1403;1378;1471;1123;1701;1475;1513;1656;1699;1750;1876;2018;1445;1477;1434;1231;314;37599
Santa Catarina;0;0;0;1;1;7;12;41;61;149;191;252;331;559;859;1102;1038;1183;1090;1120;1709;1377;1235;1526;1432;2020;1529;1478;1944;1831;2236;1958;1912;2054;2137;2145;1917;1465;1385;511;41798
Rio Grande do Sul;0;0;3;5;14;67;81;151;233;380;553;504;768;786;926;1142;1451;2286;1988;2445;2825;2984;3241;2908;2658;3164;3003;3427;3846;3772;4463;4213;4109;4139;3469;3375;3154;3077;3500;874;79984
Mato Grosso do Sul;0;0;0;2;1;6;8;18;25;60;85;96;171;169;188;229;214;240;276;218;209;208;202;266;397;253;350;333;393;438;456;515;494;594;422;400;630;539;395;175;9675
Mato Grosso;0;0;0;0;4;8;19;17;25;40;58;63;59;93;71;234;304;195;53;71;187;183;175;582;443;359;334;407;456;503;646;537;627;662;509;458;569;443;451;172;10017
Goiás;0;0;0;1;0;4;36;42;41;62;99;152;113;217;280;205;489;718;379;448;646;493;450;481;649;601;495;497;592;595;635;868;701;724;592;549;582;600;614;246;14896
Distrito Federal;0;0;0;0;5;6;25;35;67;81;224;229;253;250;242;325;370;413;323;360;304;359;365;458;654;816;447;439;611;520;658;882;991;538;512;483;479;379;404;148;13655
